sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;52;14
1;_PRENOMS_RARES;2001;52;18
1;_PRENOMS_RARES;2002;52;18
1;_PRENOMS_RARES;2003;52;18
1;_PRENOMS_RARES;2004;52;15
1;_PRENOMS_RARES;2005;52;15
1;_PRENOMS_RARES;2006;52;29
1;_PRENOMS_RARES;2007;52;27
1;_PRENOMS_RARES;2008;52;31
1;_PRENOMS_RARES;2009;52;34
1;_PRENOMS_RARES;2010;52;23
1;_PRENOMS_RARES;2011;52;28
1;_PRENOMS_RARES;2012;52;30
1;_PRENOMS_RARES;2013;52;36
1;_PRENOMS_RARES;2014;52;36
1;_PRENOMS_RARES;2015;52;38
1;_PRENOMS_RARES;2016;52;45
1;_PRENOMS_RARES;2017;52;26
1;_PRENOMS_RARES;2018;52;31
1;_PRENOMS_RARES;2019;52;46
1;_PRENOMS_RARES;2020;52;39
1;_PRENOMS_RARES;2021;52;48
1;AARON;2009;52;3
1;AARON;2010;52;4
1;AARON;2011;52;5
1;AARON;2013;52;7
1;AARON;2014;52;4
1;AARON;2015;52;6
1;AARON;2016;52;7
1;AARON;2017;52;6
1;AARON;2018;52;6
1;AARON;2019;52;5
1;AARON;2020;52;7
1;AARON;2021;52;9
1;ABEL;2014;52;4
1;ADAM;2002;52;3
1;ADAM;2003;52;4
1;ADAM;2005;52;3
1;ADAM;2008;52;4
1;ADAM;2009;52;3
1;ADAM;2010;52;5
1;ADAM;2011;52;3
1;ADAM;2013;52;3
1;ADAM;2014;52;10
1;ADAM;2015;52;6
1;ADAM;2016;52;4
1;ADAM;2018;52;8
1;ADAM;2019;52;4
1;ADAM;2020;52;6
1;ADAM;2021;52;8
1;ADEM;2017;52;3
1;ADEM;2019;52;4
1;ADEM;2021;52;3
1;ADRIEN;2000;52;12
1;ADRIEN;2001;52;10
1;ADRIEN;2002;52;8
1;ADRIEN;2003;52;4
1;ADRIEN;2004;52;8
1;ADRIEN;2005;52;6
1;ADRIEN;2006;52;5
1;ADRIEN;2007;52;5
1;ADRIEN;2008;52;3
1;ADRIEN;2009;52;4
1;ADRIEN;2010;52;3
1;ADRIEN;2016;52;4
1;AHMED;2013;52;3
1;ALAN;2000;52;3
