sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;59;382
1;_PRENOMS_RARES;2001;59;384
1;_PRENOMS_RARES;2002;59;430
1;_PRENOMS_RARES;2003;59;480
1;_PRENOMS_RARES;2004;59;462
1;_PRENOMS_RARES;2005;59;493
1;_PRENOMS_RARES;2006;59;538
1;_PRENOMS_RARES;2007;59;547
1;_PRENOMS_RARES;2008;59;580
1;_PRENOMS_RARES;2009;59;605
1;_PRENOMS_RARES;2010;59;669
1;_PRENOMS_RARES;2011;59;694
1;_PRENOMS_RARES;2012;59;741
1;_PRENOMS_RARES;2013;59;794
1;_PRENOMS_RARES;2014;59;819
1;_PRENOMS_RARES;2015;59;818
1;_PRENOMS_RARES;2016;59;789
1;_PRENOMS_RARES;2017;59;802
1;_PRENOMS_RARES;2018;59;758
1;_PRENOMS_RARES;2019;59;802
1;_PRENOMS_RARES;2020;59;814
1;_PRENOMS_RARES;2021;59;763
1;AARON;2001;59;3
1;AARON;2002;59;4
1;AARON;2003;59;5
1;AARON;2004;59;8
1;AARON;2005;59;21
1;AARON;2006;59;20
1;AARON;2007;59;32
1;AARON;2008;59;52
1;AARON;2009;59;44
1;AARON;2010;59;66
1;AARON;2011;59;55
1;AARON;2012;59;74
1;AARON;2013;59;76
1;AARON;2014;59;104
1;AARON;2015;59;86
1;AARON;2016;59;124
1;AARON;2017;59;112
1;AARON;2018;59;89
1;AARON;2019;59;100
1;AARON;2020;59;85
1;AARON;2021;59;103
1;ABD;2004;59;3
1;ABD;2014;59;3
1;ABD;2016;59;4
1;ABD-ALLAH;2015;59;3
1;ABDALLAH;2000;59;7
1;ABDALLAH;2001;59;3
1;ABDALLAH;2002;59;6
1;ABDALLAH;2003;59;7
1;ABDALLAH;2004;59;7
1;ABDALLAH;2005;59;8
1;ABDALLAH;2006;59;11
1;ABDALLAH;2007;59;9
1;ABDALLAH;2008;59;9
1;ABDALLAH;2009;59;9
1;ABDALLAH;2010;59;10
1;ABDALLAH;2011;59;15
1;ABDALLAH;2012;59;6
1;ABDALLAH;2013;59;18
1;ABDALLAH;2014;59;12
1;ABDALLAH;2015;59;20
1;ABDALLAH;2016;59;21
1;ABDALLAH;2017;59;22
1;ABDALLAH;2018;59;15
1;ABDALLAH;2019;59;10
1;ABDALLAH;2020;59;8
1;ABDALLAH;2021;59;7
1;ABDEL;2000;59;5
1;ABDEL;2004;59;4
1;ABDEL;2005;59;3
1;ABDEL;2006;59;4
1;ABDEL;2007;59;5
1;ABDEL;2008;59;6
1;ABDEL;2009;59;3
1;ABDEL;2010;59;3
1;ABDEL;2011;59;3
1;ABDEL;2015;59;6
1;ABDEL;2016;59;4
1;ABDEL;2019;59;7
1;ABDEL;2020;59;6
1;ABDEL;2021;59;6
1;ABDEL-HAKIM;2005;59;3
1;ABDEL-HALIM;2012;59;4
1;ABDEL-MALIK;2011;59;5
1;ABDEL-RAHMAN;2010;59;3
1;ABDEL-RAHMAN;2013;59;3
1;ABDELAZIZ;2000;59;3
1;ABDELAZIZ;2016;59;3
1;ABDELAZIZ;2017;59;3
1;ABDELHAK;2007;59;3
1;ABDELHAKIM;2003;59;3
1;ABDELHAKIM;2004;59;5
1;ABDELHAKIM;2011;59;5
1;ABDELHALIM;2007;59;3
1;ABDELHAMID;2002;59;3
1;ABDELHAMID;2016;59;5
1;ABDELKADER;2000;59;6
1;ABDELKADER;2001;59;8
1;ABDELKADER;2002;59;5
1;ABDELKADER;2003;59;9
1;ABDELKADER;2004;59;10
1;ABDELKADER;2006;59;6
1;ABDELKADER;2007;59;6
1;ABDELKADER;2008;59;7
1;ABDELKADER;2009;59;4
1;ABDELKADER;2010;59;8
1;ABDELKADER;2011;59;3
1;ABDELKADER;2016;59;3
1;ABDELKADER;2018;59;3
1;ABDELKADER;2020;59;3
1;ABDELKARIM;2003;59;3
1;ABDELKARIM;2004;59;3
1;ABDELKARIM;2017;59;3
1;ABDELKRIM;2010;59;4
1;ABDELLAH;2000;59;6
1;ABDELLAH;2001;59;6
1;ABDELLAH;2003;59;5
1;ABDELLAH;2004;59;3
1;ABDELLAH;2005;59;3
1;ABDELLAH;2007;59;3
1;ABDELLAH;2008;59;5
1;ABDELLAH;2009;59;5
1;ABDELLAH;2010;59;4
1;ABDELLAH;2011;59;8
1;ABDELLAH;2012;59;4
1;ABDELLAH;2013;59;6
1;ABDELLAH;2014;59;7
1;ABDELLAH;2015;59;7
1;ABDELLAH;2016;59;6
1;ABDELLAH;2017;59;7
1;ABDELLAH;2018;59;7
1;ABDELLAH;2019;59;15
1;ABDELLAH;2020;59;5
1;ABDELLAH;2021;59;3
1;ABDELMAJID;2013;59;4
1;ABDELMALIK;2010;59;5
1;ABDELMALIK;2014;59;4
1;ABDELMALIK;2015;59;4
1;ABDELMALIK;2017;59;3
1;ABDELNOUR;2006;59;3
1;ABDELNOUR;2010;59;3
1;ABDELRAHIM;2020;59;3
1;ABDELRAHMAN;2004;59;3
1;ABDELRAHMAN;2005;59;3
1;ABDELRAHMAN;2009;59;3
1;ABDELRAHMAN;2013;59;4
