sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;22;67
1;_PRENOMS_RARES;2001;22;50
1;_PRENOMS_RARES;2002;22;64
1;_PRENOMS_RARES;2003;22;65
1;_PRENOMS_RARES;2004;22;68
1;_PRENOMS_RARES;2005;22;88
1;_PRENOMS_RARES;2006;22;83
1;_PRENOMS_RARES;2007;22;87
1;_PRENOMS_RARES;2008;22;93
1;_PRENOMS_RARES;2009;22;126
1;_PRENOMS_RARES;2010;22;125
1;_PRENOMS_RARES;2011;22;85
1;_PRENOMS_RARES;2012;22;103
1;_PRENOMS_RARES;2013;22;94
1;_PRENOMS_RARES;2014;22;102
1;_PRENOMS_RARES;2015;22;95
1;_PRENOMS_RARES;2016;22;112
1;_PRENOMS_RARES;2017;22;87
1;_PRENOMS_RARES;2018;22;102
1;_PRENOMS_RARES;2019;22;105
1;_PRENOMS_RARES;2020;22;125
1;_PRENOMS_RARES;2021;22;98
1;AARON;2006;22;4
1;AARON;2007;22;12
1;AARON;2008;22;18
1;AARON;2009;22;9
1;AARON;2010;22;14
1;AARON;2011;22;16
1;AARON;2012;22;21
1;AARON;2013;22;18
1;AARON;2014;22;21
1;AARON;2015;22;18
1;AARON;2016;22;15
1;AARON;2017;22;12
1;AARON;2018;22;22
1;AARON;2019;22;13
1;AARON;2020;22;13
1;AARON;2021;22;10
1;ABEL;2001;22;3
1;ABEL;2008;22;3
1;ABEL;2009;22;3
1;ABEL;2010;22;3
1;ABEL;2011;22;5
1;ABEL;2012;22;3
1;ABEL;2013;22;4
1;ABEL;2014;22;5
1;ABEL;2018;22;3
1;ABEL;2019;22;7
1;ABEL;2020;22;7
1;ABEL;2021;22;3
1;ACHILLE;2004;22;3
1;ACHILLE;2006;22;3
1;ACHILLE;2010;22;3
1;ACHILLE;2013;22;3
1;ACHILLE;2017;22;3
1;ACHILLE;2019;22;3
1;ACHILLE;2020;22;3
1;ACHILLE;2021;22;5
1;ADAM;2002;22;3
1;ADAM;2003;22;5
1;ADAM;2004;22;5
1;ADAM;2005;22;5
1;ADAM;2006;22;3
1;ADAM;2007;22;6
1;ADAM;2008;22;5
1;ADAM;2009;22;5
1;ADAM;2010;22;7
1;ADAM;2011;22;8
1;ADAM;2012;22;15
1;ADAM;2013;22;14
1;ADAM;2014;22;7
1;ADAM;2015;22;13
1;ADAM;2016;22;9
1;ADAM;2017;22;6
1;ADAM;2018;22;9
1;ADAM;2019;22;9
1;ADAM;2020;22;7
1;ADAM;2021;22;6
1;ADEM;2018;22;3
1;ADRIAN;2001;22;4
1;ADRIEN;2000;22;35
1;ADRIEN;2001;22;21
1;ADRIEN;2002;22;18
1;ADRIEN;2003;22;18
1;ADRIEN;2004;22;20
1;ADRIEN;2005;22;19
1;ADRIEN;2006;22;15
1;ADRIEN;2007;22;13
1;ADRIEN;2008;22;9
1;ADRIEN;2009;22;13
1;ADRIEN;2010;22;8
1;ADRIEN;2011;22;8
1;ADRIEN;2012;22;5
1;ADRIEN;2013;22;5
1;ADRIEN;2014;22;6
1;ADRIEN;2016;22;3
1;ADRIEN;2017;22;5
1;ADRIEN;2018;22;3
1;ADRIEN;2019;22;4
1;ADRIEN;2020;22;3
1;AEDAN;2017;22;5
1;AEL;2009;22;3
1;AËL;2019;22;3
1;AËLIG;2020;22;3
1;AHMED;2002;22;3
1;AIDAN;2008;22;4
1;AIDAN;2011;22;3
1;AIDAN;2012;22;3
1;AÏDAN;2013;22;4
1;AIMÉ;2021;22;4
1;ALAN;2000;22;31
1;ALAN;2001;22;29
1;ALAN;2002;22;18
1;ALAN;2003;22;31
1;ALAN;2004;22;26
1;ALAN;2005;22;27
1;ALAN;2006;22;16
1;ALAN;2007;22;12
1;ALAN;2008;22;12
1;ALAN;2009;22;9
1;ALAN;2010;22;9
1;ALAN;2011;22;9
1;ALAN;2012;22;10
1;ALAN;2013;22;4
1;ALAN;2014;22;5
1;ALAN;2015;22;3
1;ALAN;2016;22;4
1;ALANN;2000;22;3
1;ALBAN;2000;22;5
1;ALBAN;2001;22;7
1;ALBAN;2002;22;5
1;ALBAN;2003;22;8
1;ALBAN;2004;22;13
1;ALBAN;2005;22;5
1;ALBAN;2006;22;8
1;ALBAN;2007;22;8
1;ALBAN;2008;22;4
1;ALBAN;2009;22;10
1;ALBAN;2010;22;9
1;ALBAN;2011;22;7
1;ALBAN;2012;22;4
1;ALBAN;2013;22;8
1;ALBAN;2014;22;4
1;ALBAN;2016;22;4
1;ALBAN;2017;22;6
1;ALBAN;2018;22;3
1;ALBAN;2019;22;5
1;ALBIN;2006;22;4
1;ALBIN;2009;22;3
1;ALBIN;2011;22;4
1;ALBIN;2013;22;3
1;ALESSIO;2020;22;4
1;ALEX;2000;22;7
1;ALEX;2001;22;9
1;ALEX;2002;22;6
1;ALEX;2003;22;6
1;ALEX;2004;22;4
1;ALEX;2005;22;3
1;ALEX;2007;22;5
1;ALEX;2008;22;6
1;ALEX;2009;22;4
1;ALEXANDRE;2000;22;61
1;ALEXANDRE;2001;22;41
1;ALEXANDRE;2002;22;28
1;ALEXANDRE;2003;22;43
1;ALEXANDRE;2004;22;38
1;ALEXANDRE;2005;22;27
1;ALEXANDRE;2006;22;25
