sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;64;70
1;_PRENOMS_RARES;2001;64;84
1;_PRENOMS_RARES;2002;64;91
1;_PRENOMS_RARES;2003;64;97
1;_PRENOMS_RARES;2004;64;98
1;_PRENOMS_RARES;2005;64;97
1;_PRENOMS_RARES;2006;64;121
1;_PRENOMS_RARES;2007;64;118
1;_PRENOMS_RARES;2008;64;117
1;_PRENOMS_RARES;2009;64;150
1;_PRENOMS_RARES;2010;64;139
1;_PRENOMS_RARES;2011;64;135
1;_PRENOMS_RARES;2012;64;148
1;_PRENOMS_RARES;2013;64;141
1;_PRENOMS_RARES;2014;64;143
1;_PRENOMS_RARES;2015;64;169
1;_PRENOMS_RARES;2016;64;168
1;_PRENOMS_RARES;2017;64;171
1;_PRENOMS_RARES;2018;64;146
1;_PRENOMS_RARES;2019;64;143
1;_PRENOMS_RARES;2020;64;161
1;_PRENOMS_RARES;2021;64;157
1;AARON;2006;64;4
1;AARON;2007;64;4
1;AARON;2008;64;14
1;AARON;2009;64;5
1;AARON;2010;64;8
1;AARON;2011;64;10
1;AARON;2012;64;12
1;AARON;2013;64;12
1;AARON;2014;64;16
1;AARON;2015;64;16
1;AARON;2016;64;19
1;AARON;2017;64;12
1;AARON;2018;64;12
1;AARON;2019;64;17
1;AARON;2020;64;20
1;AARON;2021;64;27
1;ABDALLAH;2016;64;3
1;ABEL;2015;64;5
1;ABEL;2016;64;3
1;ABEL;2017;64;3
1;ABEL;2019;64;3
1;ABEL;2021;64;5
1;ACHILLE;2006;64;4
1;ACHILLE;2007;64;3
1;ACHILLE;2010;64;4
1;ACHILLE;2013;64;3
1;ACHILLE;2014;64;6
1;ACHILLE;2016;64;3
1;ACHILLE;2017;64;5
1;ACHILLE;2018;64;5
1;ACHILLE;2019;64;4
1;ACHILLE;2020;64;5
1;ACHILLE;2021;64;15
1;ADAM;2001;64;4
1;ADAM;2002;64;6
1;ADAM;2003;64;5
1;ADAM;2004;64;10
1;ADAM;2005;64;8
1;ADAM;2006;64;6
1;ADAM;2007;64;11
1;ADAM;2008;64;12
1;ADAM;2009;64;17
1;ADAM;2010;64;10
1;ADAM;2011;64;17
1;ADAM;2012;64;22
1;ADAM;2013;64;17
1;ADAM;2014;64;20
1;ADAM;2015;64;35
1;ADAM;2016;64;22
1;ADAM;2017;64;23
1;ADAM;2018;64;19
1;ADAM;2019;64;22
1;ADAM;2020;64;20
1;ADAM;2021;64;11
1;ADEM;2017;64;4
1;ADONIS;2015;64;3
1;ADRIAN;2002;64;3
1;ADRIAN;2004;64;3
1;ADRIAN;2009;64;3
1;ADRIAN;2012;64;3
1;ADRIAN;2016;64;6
1;ADRIAN;2017;64;5
1;ADRIAN;2018;64;3
1;ADRIAN;2019;64;3
1;ADRIAN;2021;64;4
1;ADRIÀN;2018;64;3
1;ADRIEN;2000;64;32
1;ADRIEN;2001;64;29
1;ADRIEN;2002;64;27
1;ADRIEN;2003;64;20
1;ADRIEN;2004;64;18
1;ADRIEN;2005;64;16
1;ADRIEN;2006;64;17
1;ADRIEN;2007;64;19
1;ADRIEN;2008;64;13
1;ADRIEN;2009;64;17
1;ADRIEN;2010;64;17
1;ADRIEN;2011;64;8
1;ADRIEN;2012;64;12
1;ADRIEN;2013;64;10
1;ADRIEN;2014;64;19
1;ADRIEN;2015;64;4
1;ADRIEN;2016;64;8
1;ADRIEN;2017;64;7
1;ADRIEN;2018;64;4
1;ADRIEN;2019;64;9
1;ADRIEN;2020;64;6
