sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;26;47
1;_PRENOMS_RARES;2001;26;67
1;_PRENOMS_RARES;2002;26;63
1;_PRENOMS_RARES;2003;26;81
1;_PRENOMS_RARES;2004;26;77
1;_PRENOMS_RARES;2005;26;72
1;_PRENOMS_RARES;2006;26;81
1;_PRENOMS_RARES;2007;26;79
1;_PRENOMS_RARES;2008;26;84
1;_PRENOMS_RARES;2009;26;100
1;_PRENOMS_RARES;2010;26;97
1;_PRENOMS_RARES;2011;26;119
1;_PRENOMS_RARES;2012;26;124
1;_PRENOMS_RARES;2013;26;113
1;_PRENOMS_RARES;2014;26;111
1;_PRENOMS_RARES;2015;26;115
1;_PRENOMS_RARES;2016;26;105
1;_PRENOMS_RARES;2017;26;130
1;_PRENOMS_RARES;2018;26;119
1;_PRENOMS_RARES;2019;26;127
1;_PRENOMS_RARES;2020;26;122
1;_PRENOMS_RARES;2021;26;143
1;AARON;2008;26;7
1;AARON;2009;26;12
1;AARON;2010;26;11
1;AARON;2011;26;8
1;AARON;2012;26;15
1;AARON;2013;26;10
1;AARON;2014;26;9
1;AARON;2015;26;24
1;AARON;2016;26;12
1;AARON;2017;26;13
1;AARON;2018;26;9
1;AARON;2019;26;17
1;AARON;2020;26;12
1;AARON;2021;26;23
1;ABD;2015;26;3
1;ABDALLAH;2008;26;3
1;ABDULLAH;2011;26;3
1;ABEL;2010;26;4
1;ABEL;2011;26;3
1;ABEL;2012;26;6
1;ABEL;2013;26;3
1;ABEL;2014;26;4
1;ABEL;2015;26;6
1;ABEL;2016;26;6
1;ABEL;2017;26;3
1;ABEL;2018;26;5
1;ABEL;2019;26;6
1;ABEL;2020;26;5
1;ABEL;2021;26;8
1;ACHILLE;2005;26;4
1;ACHILLE;2007;26;3
1;ACHILLE;2009;26;5
1;ACHILLE;2011;26;4
1;ACHILLE;2012;26;3
1;ACHILLE;2015;26;5
1;ACHILLE;2016;26;4
1;ACHILLE;2017;26;5
1;ACHILLE;2018;26;3
1;ACHILLE;2020;26;3
1;ACHRAF;2006;26;3
1;ADAM;2000;26;7
1;ADAM;2001;26;5
1;ADAM;2002;26;4
1;ADAM;2003;26;10
1;ADAM;2004;26;11
1;ADAM;2005;26;14
1;ADAM;2006;26;13
1;ADAM;2007;26;25
1;ADAM;2008;26;24
1;ADAM;2009;26;21
1;ADAM;2010;26;18
1;ADAM;2011;26;20
1;ADAM;2012;26;22
1;ADAM;2013;26;28
1;ADAM;2014;26;27
1;ADAM;2015;26;25
1;ADAM;2016;26;28
1;ADAM;2017;26;33
1;ADAM;2018;26;18
1;ADAM;2019;26;13
1;ADAM;2020;26;21
1;ADAM;2021;26;18
1;ADAME;2011;26;3
1;ADAN;2016;26;3
1;ADEL;2000;26;5
1;ADEL;2002;26;5
1;ADEL;2003;26;4
1;ADEL;2004;26;5
1;ADEL;2006;26;3
1;ADEL;2008;26;3
1;ADEL;2010;26;3
1;ADEL;2012;26;4
1;ADEL;2015;26;3
1;ADEL;2019;26;3
1;ADEL;2021;26;4
1;ADEM;2000;26;3
1;ADEM;2002;26;3
1;ADEM;2004;26;4
1;ADEM;2007;26;7
1;ADEM;2009;26;4
