sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;42;118
1;_PRENOMS_RARES;2001;42;117
1;_PRENOMS_RARES;2002;42;122
1;_PRENOMS_RARES;2003;42;135
1;_PRENOMS_RARES;2004;42;139
1;_PRENOMS_RARES;2005;42;153
1;_PRENOMS_RARES;2006;42;161
1;_PRENOMS_RARES;2007;42;156
1;_PRENOMS_RARES;2008;42;163
1;_PRENOMS_RARES;2009;42;182
1;_PRENOMS_RARES;2010;42;192
1;_PRENOMS_RARES;2011;42;209
1;_PRENOMS_RARES;2012;42;214
1;_PRENOMS_RARES;2013;42;203
1;_PRENOMS_RARES;2014;42;215
1;_PRENOMS_RARES;2015;42;213
1;_PRENOMS_RARES;2016;42;217
1;_PRENOMS_RARES;2017;42;216
1;_PRENOMS_RARES;2018;42;208
1;_PRENOMS_RARES;2019;42;236
1;_PRENOMS_RARES;2020;42;245
1;_PRENOMS_RARES;2021;42;213
1;AARON;2004;42;6
1;AARON;2005;42;3
1;AARON;2007;42;7
1;AARON;2008;42;9
1;AARON;2009;42;11
1;AARON;2010;42;13
1;AARON;2011;42;17
1;AARON;2012;42;19
1;AARON;2013;42;15
1;AARON;2014;42;22
1;AARON;2015;42;28
1;AARON;2016;42;25
1;AARON;2017;42;26
1;AARON;2018;42;24
1;AARON;2019;42;29
1;AARON;2020;42;27
1;AARON;2021;42;26
1;ABDALLAH;2003;42;3
1;ABDALLAH;2004;42;4
1;ABDALLAH;2005;42;4
1;ABDALLAH;2010;42;3
1;ABDALLAH;2011;42;4
1;ABDALLAH;2014;42;6
1;ABDALLAH;2016;42;4
1;ABDALLAH;2019;42;3
1;ABDALLAH;2021;42;3
1;ABDELKADER;2001;42;6
1;ABDELKADER;2005;42;3
1;ABDELLAH;2012;42;3
1;ABDELLAH;2017;42;3
1;ABDELMALIK;2009;42;3
1;ABDERRAHMANE;2013;42;4
1;ABEL;2011;42;5
1;ABEL;2013;42;4
1;ABEL;2014;42;6
1;ABEL;2015;42;6
1;ABEL;2016;42;3
1;ABEL;2017;42;4
1;ABEL;2018;42;5
1;ABEL;2019;42;4
1;ABRAHAM;2008;42;3
1;ACHILLE;2005;42;4
1;ACHILLE;2008;42;5
1;ACHILLE;2009;42;4
1;ACHILLE;2010;42;4
1;ACHILLE;2011;42;7
1;ACHILLE;2012;42;7
1;ACHILLE;2013;42;5
1;ACHILLE;2014;42;6
1;ACHILLE;2015;42;4
1;ACHILLE;2018;42;3
1;ACHILLE;2020;42;5
1;ACHILLE;2021;42;6
1;ACHRAF;2005;42;3
1;ADAM;2000;42;18
1;ADAM;2001;42;20
1;ADAM;2002;42;17
1;ADAM;2003;42;19
1;ADAM;2004;42;23
1;ADAM;2005;42;22
1;ADAM;2006;42;26
1;ADAM;2007;42;40
1;ADAM;2008;42;45
1;ADAM;2009;42;43
1;ADAM;2010;42;50
1;ADAM;2011;42;36
1;ADAM;2012;42;52
1;ADAM;2013;42;51
1;ADAM;2014;42;45
1;ADAM;2015;42;38
1;ADAM;2016;42;49
1;ADAM;2017;42;45
1;ADAM;2018;42;49
1;ADAM;2019;42;35
1;ADAM;2020;42;41
1;ADAM;2021;42;29
1;ADEL;2000;42;14
1;ADEL;2001;42;10
1;ADEL;2002;42;8
1;ADEL;2003;42;6
1;ADEL;2004;42;6
1;ADEL;2005;42;4
1;ADEL;2006;42;4
1;ADEL;2007;42;8
1;ADEL;2008;42;8
1;ADEL;2009;42;7
1;ADEL;2010;42;10
1;ADEL;2011;42;5
1;ADEL;2012;42;12
1;ADEL;2013;42;11
1;ADEL;2014;42;7
1;ADEL;2016;42;8
1;ADEL;2020;42;5
