sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;72;56
1;_PRENOMS_RARES;2001;72;66
1;_PRENOMS_RARES;2002;72;66
1;_PRENOMS_RARES;2003;72;91
1;_PRENOMS_RARES;2004;72;83
1;_PRENOMS_RARES;2005;72;106
1;_PRENOMS_RARES;2006;72;97
1;_PRENOMS_RARES;2007;72;100
1;_PRENOMS_RARES;2008;72;126
1;_PRENOMS_RARES;2009;72;143
1;_PRENOMS_RARES;2010;72;150
1;_PRENOMS_RARES;2011;72;150
1;_PRENOMS_RARES;2012;72;183
1;_PRENOMS_RARES;2013;72;180
1;_PRENOMS_RARES;2014;72;171
1;_PRENOMS_RARES;2015;72;180
1;_PRENOMS_RARES;2016;72;187
1;_PRENOMS_RARES;2017;72;160
1;_PRENOMS_RARES;2018;72;182
1;_PRENOMS_RARES;2019;72;175
1;_PRENOMS_RARES;2020;72;182
1;_PRENOMS_RARES;2021;72;213
1;AARON;2005;72;4
1;AARON;2006;72;4
1;AARON;2007;72;8
1;AARON;2008;72;12
1;AARON;2009;72;19
1;AARON;2010;72;11
1;AARON;2011;72;16
1;AARON;2012;72;23
1;AARON;2013;72;18
1;AARON;2014;72;13
1;AARON;2015;72;22
1;AARON;2016;72;12
1;AARON;2017;72;15
1;AARON;2018;72;16
1;AARON;2019;72;18
1;AARON;2020;72;24
1;AARON;2021;72;12
1;ABDALLAH;2012;72;3
1;ABDOULLAH;2021;72;3
1;ABEL;2009;72;3
1;ABEL;2010;72;3
1;ABEL;2011;72;3
1;ABEL;2012;72;3
1;ABEL;2013;72;3
1;ABEL;2014;72;8
1;ABEL;2015;72;7
1;ABEL;2016;72;3
1;ABEL;2019;72;7
1;ABEL;2021;72;10
1;ABOUBACAR;2018;72;3
1;ACHILLE;2002;72;3
1;ACHILLE;2003;72;4
1;ACHILLE;2004;72;4
1;ACHILLE;2006;72;3
1;ACHILLE;2007;72;7
1;ACHILLE;2008;72;5
1;ACHILLE;2009;72;4
1;ACHILLE;2012;72;4
1;ACHILLE;2013;72;3
1;ACHILLE;2015;72;5
1;ACHILLE;2016;72;3
1;ACHILLE;2017;72;5
1;ACHILLE;2018;72;6
1;ACHILLE;2020;72;4
1;ACHILLE;2021;72;3
1;ADAM;2000;72;4
1;ADAM;2001;72;3
1;ADAM;2003;72;5
1;ADAM;2004;72;3
1;ADAM;2005;72;5
1;ADAM;2006;72;11
1;ADAM;2007;72;7
1;ADAM;2008;72;18
1;ADAM;2009;72;17
1;ADAM;2010;72;19
1;ADAM;2011;72;19
1;ADAM;2012;72;25
1;ADAM;2013;72;26
1;ADAM;2014;72;27
1;ADAM;2015;72;16
1;ADAM;2016;72;23
