sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;30;83
1;_PRENOMS_RARES;2001;30;86
1;_PRENOMS_RARES;2002;30;98
1;_PRENOMS_RARES;2003;30;96
1;_PRENOMS_RARES;2004;30;117
1;_PRENOMS_RARES;2005;30;98
1;_PRENOMS_RARES;2006;30;112
1;_PRENOMS_RARES;2007;30;105
1;_PRENOMS_RARES;2008;30;114
1;_PRENOMS_RARES;2009;30;129
1;_PRENOMS_RARES;2010;30;143
1;_PRENOMS_RARES;2011;30;138
1;_PRENOMS_RARES;2012;30;134
1;_PRENOMS_RARES;2013;30;152
1;_PRENOMS_RARES;2014;30;148
1;_PRENOMS_RARES;2015;30;144
1;_PRENOMS_RARES;2016;30;157
1;_PRENOMS_RARES;2017;30;160
1;_PRENOMS_RARES;2018;30;142
1;_PRENOMS_RARES;2019;30;160
1;_PRENOMS_RARES;2020;30;158
1;_PRENOMS_RARES;2021;30;177
1;AARON;2005;30;4
1;AARON;2007;30;4
1;AARON;2008;30;13
1;AARON;2009;30;13
1;AARON;2010;30;17
1;AARON;2011;30;9
1;AARON;2012;30;17
1;AARON;2013;30;22
1;AARON;2014;30;27
1;AARON;2015;30;34
1;AARON;2016;30;32
1;AARON;2017;30;26
1;AARON;2018;30;28
1;AARON;2019;30;33
1;AARON;2020;30;26
1;AARON;2021;30;31
1;ABDALLAH;2011;30;5
1;ABDALLAH;2015;30;4
1;ABDALLAH;2016;30;4
1;ABDALLAH;2017;30;5
1;ABDALLAH;2018;30;3
1;ABDEL;2010;30;3
1;ABDEL;2015;30;3
1;ABDELKADER;2000;30;3
1;ABDELKADER;2014;30;3
1;ABDELLAH;2009;30;4
1;ABDELLAH;2011;30;5
1;ABDELLAH;2014;30;3
1;ABDELLAH;2015;30;4
1;ABEL;2006;30;5
1;ABEL;2009;30;4
1;ABEL;2014;30;6
1;ABEL;2016;30;3
1;ABEL;2017;30;3
1;ABEL;2021;30;6
1;ACHILLE;2006;30;3
1;ACHILLE;2016;30;3
1;ACHILLE;2018;30;3
1;ACHILLE;2019;30;3
1;ACHRAF;2005;30;4
1;ACHRAF;2006;30;4
1;ACHRAF;2009;30;3
1;ACHRAF;2010;30;3
1;ACHRAF;2011;30;4
1;ACHRAF;2013;30;5
1;ACHRAF;2019;30;3
1;ADAM;2000;30;7
1;ADAM;2001;30;16
1;ADAM;2002;30;9
1;ADAM;2003;30;19
1;ADAM;2004;30;17
1;ADAM;2005;30;15
1;ADAM;2006;30;25
1;ADAM;2007;30;30
1;ADAM;2008;30;51
1;ADAM;2009;30;42
1;ADAM;2010;30;47
1;ADAM;2011;30;46
1;ADAM;2012;30;48
1;ADAM;2013;30;70
1;ADAM;2014;30;63
1;ADAM;2015;30;53
1;ADAM;2016;30;46
1;ADAM;2017;30;49
1;ADAM;2018;30;45
1;ADAM;2019;30;41
1;ADAM;2020;30;40
1;ADAM;2021;30;40
1;ADAME;2007;30;5
1;ADAME;2013;30;3
1;ADEL;2000;30;3
1;ADEL;2001;30;4
1;ADEL;2003;30;4
1;ADEL;2004;30;4
1;ADEL;2012;30;3
1;ADEL;2013;30;3
1;ADEL;2014;30;4
1;ADEL;2015;30;4
1;ADEL;2018;30;3
1;ADEL;2019;30;3
1;ADEL;2020;30;4
1;ADEM;2004;30;4
1;ADEM;2005;30;3
1;ADEM;2006;30;5
1;ADEM;2007;30;4
1;ADEM;2008;30;4
1;ADEM;2009;30;3
1;ADEM;2010;30;3
1;ADEM;2011;30;7
1;ADEM;2012;30;9
1;ADEM;2013;30;7
1;ADEM;2014;30;9
1;ADEM;2015;30;6
1;ADEM;2016;30;12
1;ADEM;2017;30;7
