sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;44;156
1;_PRENOMS_RARES;2001;44;171
1;_PRENOMS_RARES;2002;44;204
1;_PRENOMS_RARES;2003;44;175
1;_PRENOMS_RARES;2004;44;228
1;_PRENOMS_RARES;2005;44;257
1;_PRENOMS_RARES;2006;44;256
1;_PRENOMS_RARES;2007;44;273
1;_PRENOMS_RARES;2008;44;298
1;_PRENOMS_RARES;2009;44;316
1;_PRENOMS_RARES;2010;44;327
1;_PRENOMS_RARES;2011;44;349
1;_PRENOMS_RARES;2012;44;362
1;_PRENOMS_RARES;2013;44;411
1;_PRENOMS_RARES;2014;44;361
1;_PRENOMS_RARES;2015;44;370
1;_PRENOMS_RARES;2016;44;394
1;_PRENOMS_RARES;2017;44;443
1;_PRENOMS_RARES;2018;44;424
1;_PRENOMS_RARES;2019;44;433
1;_PRENOMS_RARES;2020;44;435
1;_PRENOMS_RARES;2021;44;499
1;AARON;2002;44;4
1;AARON;2004;44;7
1;AARON;2005;44;11
1;AARON;2006;44;13
1;AARON;2007;44;21
1;AARON;2008;44;35
1;AARON;2009;44;42
1;AARON;2010;44;35
1;AARON;2011;44;38
1;AARON;2012;44;43
1;AARON;2013;44;50
1;AARON;2014;44;51
1;AARON;2015;44;49
1;AARON;2016;44;42
1;AARON;2017;44;47
1;AARON;2018;44;48
1;AARON;2019;44;48
1;AARON;2020;44;50
1;AARON;2021;44;35
1;AARONN;2017;44;4
1;ABDALLAH;2009;44;3
1;ABDALLAH;2016;44;5
1;ABDALLAH;2017;44;4
1;ABDALLAH;2018;44;3
1;ABDALLAH;2019;44;3
1;ABDEL;2017;44;3
1;ABDEL;2019;44;6
1;ABDEL;2021;44;3
1;ABDELKADER;2018;44;3
1;ABDELKADER;2019;44;5
1;ABDERRAHMANE;2016;44;3
1;ABDOUL;2018;44;3
1;ABDOUL;2021;44;3
1;ABDOULAYE;2013;44;4
1;ABDOULAYE;2019;44;3
1;ABDOULAYE;2021;44;3
1;ABDOULLAH;2014;44;5
1;ABDOULLAH;2019;44;3
1;ABDULLAH;2019;44;4
1;ABEL;2000;44;3
1;ABEL;2003;44;4
1;ABEL;2004;44;7
1;ABEL;2005;44;5
1;ABEL;2006;44;7
1;ABEL;2008;44;10
1;ABEL;2009;44;11
1;ABEL;2010;44;6
1;ABEL;2011;44;10
1;ABEL;2012;44;11
1;ABEL;2013;44;8
1;ABEL;2014;44;21
1;ABEL;2015;44;18
1;ABEL;2016;44;14
1;ABEL;2017;44;10
1;ABEL;2018;44;21
1;ABEL;2019;44;25
1;ABEL;2020;44;32
1;ABEL;2021;44;32
1;ABOUBACAR;2020;44;3
1;ABOUBAKR;2020;44;3
1;ABRAHAM;2019;44;3
1;ABRAHAM;2021;44;3
1;ACHILLE;2000;44;5
1;ACHILLE;2001;44;5
1;ACHILLE;2002;44;4
1;ACHILLE;2003;44;9
1;ACHILLE;2004;44;8
1;ACHILLE;2005;44;6
1;ACHILLE;2006;44;9
1;ACHILLE;2007;44;11
1;ACHILLE;2008;44;11
1;ACHILLE;2009;44;13
1;ACHILLE;2010;44;9
1;ACHILLE;2011;44;10
1;ACHILLE;2012;44;11
