sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;66;55
1;_PRENOMS_RARES;2001;66;44
1;_PRENOMS_RARES;2002;66;47
1;_PRENOMS_RARES;2003;66;50
1;_PRENOMS_RARES;2004;66;62
1;_PRENOMS_RARES;2005;66;67
1;_PRENOMS_RARES;2006;66;59
1;_PRENOMS_RARES;2007;66;68
1;_PRENOMS_RARES;2008;66;79
1;_PRENOMS_RARES;2009;66;88
1;_PRENOMS_RARES;2010;66;74
1;_PRENOMS_RARES;2011;66;86
1;_PRENOMS_RARES;2012;66;94
1;_PRENOMS_RARES;2013;66;104
1;_PRENOMS_RARES;2014;66;107
1;_PRENOMS_RARES;2015;66;127
1;_PRENOMS_RARES;2016;66;93
1;_PRENOMS_RARES;2017;66;100
1;_PRENOMS_RARES;2018;66;93
1;_PRENOMS_RARES;2019;66;117
1;_PRENOMS_RARES;2020;66;116
1;_PRENOMS_RARES;2021;66;113
1;AARON;2004;66;3
1;AARON;2006;66;4
1;AARON;2007;66;5
1;AARON;2008;66;9
1;AARON;2009;66;12
1;AARON;2010;66;13
1;AARON;2011;66;16
1;AARON;2012;66;16
1;AARON;2013;66;17
1;AARON;2014;66;16
1;AARON;2015;66;13
1;AARON;2016;66;25
1;AARON;2017;66;7
1;AARON;2018;66;11
1;AARON;2019;66;20
1;AARON;2020;66;24
1;AARON;2021;66;14
1;ABDELKADER;2000;66;5
1;ABDELKADER;2001;66;3
1;ABDELKADER;2002;66;5
1;ABDELLAH;2006;66;3
1;ABDERRAHMAN;2010;66;3
1;ABDESSAMAD;2001;66;3
1;ABEL;2007;66;3
1;ABEL;2014;66;3
1;ABEL;2017;66;3
1;ABEL;2019;66;4
1;ABRAHAM;2003;66;3
1;ABRAHAM;2007;66;3
1;ABRAHAM;2011;66;3
1;ABRAHAM;2013;66;3
1;ABRAHAM;2017;66;6
1;ABRAHAM;2018;66;3
1;ACHILLE;2012;66;3
1;ACHILLE;2017;66;3
1;ACHRAF;2011;66;3
1;ADAM;2000;66;4
1;ADAM;2002;66;3
1;ADAM;2003;66;6
1;ADAM;2004;66;5
1;ADAM;2005;66;9
1;ADAM;2006;66;13
1;ADAM;2007;66;17
1;ADAM;2008;66;17
1;ADAM;2009;66;15
1;ADAM;2010;66;19
1;ADAM;2011;66;16
1;ADAM;2012;66;16
1;ADAM;2013;66;23
1;ADAM;2014;66;36
1;ADAM;2015;66;21
1;ADAM;2016;66;43
1;ADAM;2017;66;19
1;ADAM;2018;66;25
1;ADAM;2019;66;32
1;ADAM;2020;66;15
1;ADAM;2021;66;25
1;ADEL;2000;66;3
1;ADEL;2001;66;3
1;ADEL;2002;66;3
1;ADEM;2004;66;3
1;ADEM;2009;66;3
1;ADEM;2012;66;3
1;ADEM;2013;66;5
1;ADEM;2014;66;5
1;ADEM;2015;66;8
1;ADEM;2017;66;5
1;ADEM;2018;66;4
1;ADEM;2019;66;4
1;ADEM;2020;66;7
1;ADEM;2021;66;6
1;ADRIAN;2003;66;4
1;ADRIAN;2009;66;3
1;ADRIAN;2017;66;4
1;ADRIAN;2021;66;5
1;ADRIEN;2000;66;18
1;ADRIEN;2001;66;27
1;ADRIEN;2002;66;15
1;ADRIEN;2003;66;21
1;ADRIEN;2004;66;17
1;ADRIEN;2005;66;16
1;ADRIEN;2006;66;14
1;ADRIEN;2007;66;14
1;ADRIEN;2008;66;11
1;ADRIEN;2009;66;7
1;ADRIEN;2010;66;6
1;ADRIEN;2011;66;10
1;ADRIEN;2012;66;10
1;ADRIEN;2013;66;9
1;ADRIEN;2014;66;6
1;ADRIEN;2015;66;4
1;ADRIEN;2016;66;7
1;ADRIEN;2017;66;7
1;ADRIEN;2018;66;10
1;ADRIEN;2019;66;6
1;ADRIEN;2020;66;7
1;ADRIEN;2021;66;4
1;AHMED;2005;66;3
1;AHMED;2006;66;3
1;AHMED;2011;66;5
1;AHMED;2012;66;4
1;AHMED;2013;66;6
1;AHMED;2015;66;4
1;AHMED;2016;66;4
1;AHMED;2019;66;3
1;AHMED;2020;66;3
1;AHMED;2021;66;4
1;AÏSSA;2016;66;3
1;AKRAM;2006;66;3
1;AKRAM;2020;66;3
1;ALAIN;2000;66;3
1;ALAN;2000;66;5
1;ALAN;2002;66;3
1;ALAN;2003;66;3
1;ALAN;2005;66;4
1;ALAN;2006;66;3
1;ALAN;2008;66;5
1;ALAN;2012;66;5
1;ALAN;2016;66;3
1;ALARIC;2007;66;3
1;ALBAN;2000;66;3
1;ALBAN;2009;66;5
1;ALBAN;2010;66;3
1;ALBAN;2012;66;4
1;ALBAN;2014;66;4
1;ALBAN;2015;66;3
1;ALBAN;2016;66;3
1;ALBAN;2021;66;4
1;ALESSANDRO;2016;66;3
1;ALESSIO;2020;66;11
1;ALESSIO;2021;66;4
1;ALEX;2000;66;11
1;ALEX;2001;66;4
1;ALEX;2003;66;4
1;ALEX;2004;66;4
1;ALEX;2005;66;5
1;ALEX;2007;66;4
1;ALEX;2009;66;3
1;ALEX;2011;66;5
1;ALEX;2015;66;3
1;ALEX;2019;66;3
1;ALEXANDRE;2000;66;41
1;ALEXANDRE;2001;66;34
1;ALEXANDRE;2002;66;33
1;ALEXANDRE;2003;66;24
1;ALEXANDRE;2004;66;24
1;ALEXANDRE;2005;66;23
1;ALEXANDRE;2006;66;29
1;ALEXANDRE;2007;66;21
1;ALEXANDRE;2008;66;20
1;ALEXANDRE;2009;66;16
1;ALEXANDRE;2010;66;14
1;ALEXANDRE;2011;66;22
1;ALEXANDRE;2012;66;14
1;ALEXANDRE;2013;66;12
1;ALEXANDRE;2014;66;7
1;ALEXANDRE;2015;66;8
1;ALEXANDRE;2016;66;11
1;ALEXANDRE;2017;66;10
1;ALEXANDRE;2018;66;3
1;ALEXANDRE;2019;66;6
1;ALEXANDRE;2020;66;7
1;ALEXANDRE;2021;66;7
1;ALEXIS;2000;66;22
1;ALEXIS;2001;66;30
1;ALEXIS;2002;66;21
1;ALEXIS;2003;66;15
1;ALEXIS;2004;66;24
1;ALEXIS;2005;66;18
1;ALEXIS;2006;66;24
1;ALEXIS;2007;66;13
1;ALEXIS;2008;66;14
1;ALEXIS;2009;66;11
1;ALEXIS;2010;66;8
1;ALEXIS;2011;66;9
1;ALEXIS;2012;66;12
1;ALEXIS;2013;66;12
1;ALEXIS;2014;66;7
1;ALEXIS;2015;66;9
1;ALEXIS;2016;66;3
1;ALEXIS;2017;66;4
1;ALEXIS;2018;66;4
