sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;971;570
1;_PRENOMS_RARES;2001;971;600
1;_PRENOMS_RARES;2002;971;536
1;_PRENOMS_RARES;2003;971;600
1;_PRENOMS_RARES;2004;971;778
1;_PRENOMS_RARES;2005;971;810
1;_PRENOMS_RARES;2006;971;824
1;_PRENOMS_RARES;2007;971;755
1;_PRENOMS_RARES;2008;971;606
1;_PRENOMS_RARES;2009;971;588
1;_PRENOMS_RARES;2010;971;601
1;_PRENOMS_RARES;2011;971;661
1;_PRENOMS_RARES;2012;971;666
1;_PRENOMS_RARES;2013;971;618
1;_PRENOMS_RARES;2014;971;651
1;_PRENOMS_RARES;2015;971;670
1;_PRENOMS_RARES;2016;971;627
1;_PRENOMS_RARES;2017;971;572
1;_PRENOMS_RARES;2018;971;552
1;_PRENOMS_RARES;2019;971;704
1;_PRENOMS_RARES;2020;971;780
1;_PRENOMS_RARES;2021;971;677
1;AARON;2006;971;5
1;AARON;2007;971;3
1;AARON;2008;971;4
1;AARON;2009;971;6
1;AARON;2011;971;3
1;AARON;2012;971;4
1;AARON;2014;971;6
1;AARON;2015;971;4
1;AARON;2016;971;6
1;AARON;2018;971;5
1;AARON;2019;971;11
1;AARON;2020;971;7
1;AARON;2021;971;12
1;ABEL;2021;971;4
1;ADAM;2004;971;3
1;ADAM;2006;971;3
1;ADAM;2007;971;3
1;ADAM;2010;971;3
1;ADAM;2011;971;8
1;ADAM;2013;971;5
1;ADAM;2014;971;6
1;ADAM;2018;971;3
1;ADAM;2019;971;7
1;ADAM;2020;971;5
1;ADAM;2021;971;3
1;ADAMS;2021;971;3
1;ADRIAN;2000;971;3
1;ADRIAN;2004;971;3
1;ADRIAN;2013;971;3
1;ADRIAN;2016;971;3
1;ADRIAN;2019;971;4
1;ADRIANO;2006;971;3
1;ADRIEL;2020;971;4
1;ADRIEL;2021;971;3
1;ADRIEN;2000;971;9
1;ADRIEN;2001;971;5
1;ADRIEN;2002;971;3
1;ADRIEN;2003;971;6
1;ADRIEN;2004;971;8
1;ADRIEN;2006;971;4
1;ADRIEN;2007;971;4
1;ADRIEN;2009;971;4
1;ADRIEN;2011;971;3
1;ADRIEN;2012;971;4
1;ADRIEN;2013;971;4
1;ADRIEN;2014;971;7
1;ADRIEN;2015;971;3
1;ADRIEN;2017;971;3
1;ADRIEN;2020;971;3
1;AÏDEN;2018;971;3
1;AÏDEN;2020;971;3
1;AÏDEN;2021;971;7
1;ALAIN;2000;971;3
1;ALAIN;2001;971;4
1;ALAIN;2002;971;4
1;ALAN;2000;971;13
1;ALAN;2001;971;13
1;ALAN;2002;971;16
1;ALAN;2003;971;9
1;ALAN;2004;971;7
1;ALAN;2005;971;9
1;ALAN;2006;971;6
1;ALAN;2007;971;10
1;ALAN;2008;971;5
1;ALAN;2009;971;4
1;ALAN;2012;971;3
1;ALAN;2016;971;4
1;ALAN;2021;971;3
1;ALEX;2000;971;4
1;ALEX;2001;971;3
1;ALEX;2002;971;4
1;ALEX;2004;971;4
1;ALEX;2005;971;6
1;ALEX;2006;971;3
1;ALEX;2009;971;3
1;ALEX;2011;971;3
1;ALEXANDER;2000;971;4
1;ALEXANDER;2001;971;4
1;ALEXANDER;2005;971;3
1;ALEXANDER;2006;971;3
1;ALEXANDER;2019;971;3
1;ALEXANDRE;2000;971;24
1;ALEXANDRE;2001;971;27
1;ALEXANDRE;2002;971;19
1;ALEXANDRE;2003;971;13
1;ALEXANDRE;2004;971;25
1;ALEXANDRE;2005;971;25
1;ALEXANDRE;2006;971;19
1;ALEXANDRE;2007;971;14
1;ALEXANDRE;2008;971;17
1;ALEXANDRE;2009;971;17
1;ALEXANDRE;2010;971;16
1;ALEXANDRE;2011;971;12
1;ALEXANDRE;2012;971;9
1;ALEXANDRE;2013;971;10
1;ALEXANDRE;2014;971;8
1;ALEXANDRE;2015;971;12
1;ALEXANDRE;2017;971;3
1;ALEXANDRE;2018;971;9
1;ALEXANDRE;2019;971;6
1;ALEXANDRO;2004;971;4
1;ALEXIS;2000;971;6
1;ALEXIS;2001;971;5
1;ALEXIS;2002;971;4
1;ALEXIS;2003;971;8
1;ALEXIS;2004;971;6
1;ALEXIS;2005;971;4
1;ALEXIS;2006;971;4
1;ALEXIS;2007;971;5
1;ALEXIS;2008;971;3
1;ALEXIS;2010;971;5
1;ALEXIS;2011;971;5
1;ALEXIS;2013;971;6
1;ALEXIS;2016;971;4
1;ALIX;2001;971;4
1;ALIX;2002;971;4
1;ALIX;2006;971;3
1;ALIX;2007;971;3
1;ALLAN;2000;971;44
1;ALLAN;2001;971;29
1;ALLAN;2002;971;28
1;ALLAN;2003;971;16
1;ALLAN;2004;971;15
1;ALLAN;2005;971;20
1;ALLAN;2006;971;16
1;ALLAN;2007;971;10
1;ALLAN;2008;971;10
1;ALLAN;2009;971;6
1;ALLAN;2010;971;7
1;ALLAN;2011;971;4
1;ALLAN;2014;971;6
1;ALLAN;2017;971;6
1;ALLAN;2018;971;4
1;ALLAN;2019;971;4
1;ALVIN;2001;971;3
1;ALVIN;2005;971;3
1;AMAËL;2020;971;3
1;AMANI;2021;971;3
1;ANAEL;2001;971;3
1;ANAEL;2004;971;3
1;ANAEL;2006;971;3
1;ANDERSON;2000;971;3
1;ANDERSON;2005;971;3
1;ANDRÉ;2002;971;3
1;ANDRÉ;2004;971;4
1;ANDRÉ;2005;971;3
1;ANDRÉ;2006;971;3
1;ANDRÉA;2007;971;4
1;ANDRÉA;2008;971;3
1;ANDREAS;2004;971;3
1;ANDREW;2000;971;7
1;ANDREW;2001;971;11
1;ANDREW;2002;971;9
1;ANDREW;2003;971;7
1;ANDREW;2005;971;6
1;ANDREW;2006;971;8
1;ANDREW;2007;971;7
1;ANDREW;2008;971;3
1;ANDREW;2010;971;4
1;ANDREW;2011;971;5
1;ANDREW;2012;971;3
1;ANDREW;2013;971;4
1;ANDREW;2015;971;5
1;ANDREW;2017;971;3
1;ANDREW;2019;971;4
1;ANDY;2000;971;15
1;ANDY;2001;971;11
1;ANDY;2002;971;19
1;ANDY;2003;971;12
1;ANDY;2004;971;8
1;ANDY;2005;971;10
1;ANDY;2006;971;5
1;ANDY;2007;971;9
1;ANDY;2008;971;11
1;ANDY;2009;971;5
1;ANDY;2010;971;9
1;ANDY;2012;971;4
1;ANDY;2013;971;8
1;ANDY;2014;971;5
1;ANDY;2018;971;5
1;ANDY;2019;971;3
1;ANGEL;2002;971;3
1;ANGEL;2003;971;4
