sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;62;90
1;_PRENOMS_RARES;2001;62;89
1;_PRENOMS_RARES;2002;62;97
1;_PRENOMS_RARES;2003;62;106
1;_PRENOMS_RARES;2004;62;128
1;_PRENOMS_RARES;2005;62;158
1;_PRENOMS_RARES;2006;62;150
1;_PRENOMS_RARES;2007;62;159
1;_PRENOMS_RARES;2008;62;193
1;_PRENOMS_RARES;2009;62;210
1;_PRENOMS_RARES;2010;62;231
1;_PRENOMS_RARES;2011;62;259
1;_PRENOMS_RARES;2012;62;294
1;_PRENOMS_RARES;2013;62;284
1;_PRENOMS_RARES;2014;62;305
1;_PRENOMS_RARES;2015;62;272
1;_PRENOMS_RARES;2016;62;256
1;_PRENOMS_RARES;2017;62;289
1;_PRENOMS_RARES;2018;62;264
1;_PRENOMS_RARES;2019;62;257
1;_PRENOMS_RARES;2020;62;261
1;_PRENOMS_RARES;2021;62;294
1;AARON;2004;62;5
1;AARON;2005;62;6
1;AARON;2006;62;10
1;AARON;2007;62;14
1;AARON;2008;62;26
1;AARON;2009;62;35
1;AARON;2010;62;42
1;AARON;2011;62;48
1;AARON;2012;62;39
1;AARON;2013;62;48
1;AARON;2014;62;43
1;AARON;2015;62;42
1;AARON;2016;62;70
1;AARON;2017;62;53
1;AARON;2018;62;43
1;AARON;2019;62;69
1;AARON;2020;62;61
1;AARON;2021;62;44
1;ABDALLAH;2008;62;3
1;ABDALLAH;2017;62;4
1;ABDALLAH;2019;62;3
1;ABDALLAH;2020;62;5
1;ABEL;2002;62;3
1;ABEL;2004;62;3
1;ABEL;2007;62;8
1;ABEL;2008;62;6
1;ABEL;2009;62;5
1;ABEL;2010;62;8
1;ABEL;2011;62;6
1;ABEL;2012;62;6
1;ABEL;2013;62;14
1;ABEL;2014;62;4
1;ABEL;2015;62;8
1;ABEL;2016;62;16
1;ABEL;2017;62;3
1;ABEL;2018;62;14
1;ABEL;2019;62;12
1;ABEL;2020;62;20
1;ABEL;2021;62;12
1;ACHILLE;2000;62;3
1;ACHILLE;2001;62;5
1;ACHILLE;2003;62;4
1;ACHILLE;2004;62;4
1;ACHILLE;2006;62;3
1;ACHILLE;2007;62;11
1;ACHILLE;2008;62;11
1;ACHILLE;2009;62;10
1;ACHILLE;2010;62;14
1;ACHILLE;2011;62;10
1;ACHILLE;2012;62;16
1;ACHILLE;2013;62;14
1;ACHILLE;2014;62;14
1;ACHILLE;2015;62;12
1;ACHILLE;2016;62;15
1;ACHILLE;2017;62;14
1;ACHILLE;2018;62;17
1;ACHILLE;2019;62;25
1;ACHILLE;2020;62;26
1;ACHILLE;2021;62;25
1;ADAM;2000;62;13
1;ADAM;2001;62;13
1;ADAM;2002;62;14
1;ADAM;2003;62;13
1;ADAM;2004;62;20
1;ADAM;2005;62;25
1;ADAM;2006;62;31
1;ADAM;2007;62;39
1;ADAM;2008;62;28
1;ADAM;2009;62;47
1;ADAM;2010;62;38
1;ADAM;2011;62;45
1;ADAM;2012;62;63
1;ADAM;2013;62;68
1;ADAM;2014;62;65
1;ADAM;2015;62;65
1;ADAM;2016;62;62
1;ADAM;2017;62;47
1;ADAM;2018;62;68
1;ADAM;2019;62;62
1;ADAM;2020;62;40
1;ADAM;2021;62;45
1;ADAME;2012;62;5
1;ADAN;2013;62;4
1;ADAN;2014;62;7
1;ADAN;2020;62;3
1;ADEL;2018;62;3
1;ADEM;2014;62;5
1;ADEM;2015;62;6
1;ADEM;2016;62;6
1;ADEM;2017;62;6
1;ADEM;2018;62;8
1;ADEM;2019;62;8
1;ADEM;2020;62;10
1;ADEM;2021;62;3
1;ADIL;2001;62;3
1;ADIL;2007;62;3
1;ADIL;2010;62;5
1;ADIL;2012;62;3
1;ADIL;2015;62;3
1;ADIL;2017;62;3
1;ADONIS;2016;62;3
1;ADONIS;2019;62;3
1;ADRIAN;2000;62;3
1;ADRIAN;2003;62;5
1;ADRIANO;2008;62;3
1;ADRIANO;2014;62;3
1;ADRIEN;2000;62;66
1;ADRIEN;2001;62;99
1;ADRIEN;2002;62;70
1;ADRIEN;2003;62;50
1;ADRIEN;2004;62;48
1;ADRIEN;2005;62;61
1;ADRIEN;2006;62;51
1;ADRIEN;2007;62;36
1;ADRIEN;2008;62;40
1;ADRIEN;2009;62;31
1;ADRIEN;2010;62;29
1;ADRIEN;2011;62;30
1;ADRIEN;2012;62;31
1;ADRIEN;2013;62;16
1;ADRIEN;2014;62;28
1;ADRIEN;2015;62;16
1;ADRIEN;2016;62;16
1;ADRIEN;2017;62;20
1;ADRIEN;2018;62;13
1;ADRIEN;2019;62;20
1;ADRIEN;2020;62;12
1;ADRIEN;2021;62;18
1;AHMED;2000;62;5
1;AHMED;2001;62;4
1;AHMED;2002;62;3
1;AHMED;2005;62;4
1;AHMED;2007;62;3
1;AHMED;2010;62;4
1;AHMED;2011;62;3
1;AHMED;2012;62;3
1;AHMED;2013;62;4
1;AHMED;2015;62;3
1;AHMED;2016;62;5
1;AHMED;2017;62;4
