sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;16;28
1;_PRENOMS_RARES;2001;16;41
1;_PRENOMS_RARES;2002;16;34
1;_PRENOMS_RARES;2003;16;47
1;_PRENOMS_RARES;2004;16;51
1;_PRENOMS_RARES;2005;16;44
1;_PRENOMS_RARES;2006;16;65
1;_PRENOMS_RARES;2007;16;50
1;_PRENOMS_RARES;2008;16;61
1;_PRENOMS_RARES;2009;16;67
1;_PRENOMS_RARES;2010;16;87
1;_PRENOMS_RARES;2011;16;63
1;_PRENOMS_RARES;2012;16;91
1;_PRENOMS_RARES;2013;16;78
1;_PRENOMS_RARES;2014;16;77
1;_PRENOMS_RARES;2015;16;82
1;_PRENOMS_RARES;2016;16;82
1;_PRENOMS_RARES;2017;16;80
1;_PRENOMS_RARES;2018;16;101
1;_PRENOMS_RARES;2019;16;85
1;_PRENOMS_RARES;2020;16;107
1;_PRENOMS_RARES;2021;16;116
1;AARON;2007;16;7
1;AARON;2008;16;5
1;AARON;2010;16;14
1;AARON;2011;16;7
1;AARON;2012;16;6
1;AARON;2013;16;10
1;AARON;2014;16;9
1;AARON;2015;16;6
1;AARON;2016;16;10
1;AARON;2017;16;8
1;AARON;2018;16;12
1;AARON;2019;16;15
1;AARON;2020;16;11
1;AARON;2021;16;10
1;ABEL;2006;16;5
1;ABEL;2009;16;3
1;ABEL;2013;16;6
1;ABEL;2014;16;4
1;ABEL;2015;16;3
1;ABEL;2016;16;5
1;ABEL;2017;16;3
1;ABEL;2019;16;4
1;ABEL;2020;16;4
1;ABEL;2021;16;4
1;ACHILLE;2007;16;4
1;ACHILLE;2011;16;3
1;ACHILLE;2013;16;3
1;ACHILLE;2016;16;4
1;ACHILLE;2021;16;6
1;ADAM;2001;16;3
1;ADAM;2003;16;5
1;ADAM;2004;16;5
1;ADAM;2006;16;4
1;ADAM;2007;16;5
1;ADAM;2008;16;7
1;ADAM;2009;16;6
1;ADAM;2010;16;10
1;ADAM;2011;16;6
1;ADAM;2012;16;13
1;ADAM;2013;16;13
1;ADAM;2014;16;9
1;ADAM;2015;16;4
1;ADAM;2016;16;12
1;ADAM;2017;16;6
1;ADAM;2018;16;8
1;ADAM;2019;16;9
1;ADAM;2020;16;12
1;ADAM;2021;16;6
1;ADEL;2005;16;3
1;ADEL;2020;16;3
1;ADEL;2021;16;3
1;ADEM;2008;16;4
1;ADEM;2009;16;3
1;ADEM;2013;16;3
1;ADEM;2014;16;3
1;ADEM;2015;16;3
1;ADEM;2020;16;3
1;ADRIEN;2000;16;15
1;ADRIEN;2001;16;7
1;ADRIEN;2002;16;10
1;ADRIEN;2003;16;8
1;ADRIEN;2004;16;14
1;ADRIEN;2005;16;8
1;ADRIEN;2006;16;11
1;ADRIEN;2007;16;9
1;ADRIEN;2008;16;7
1;ADRIEN;2009;16;3
1;ADRIEN;2010;16;5
1;ADRIEN;2011;16;4
1;ADRIEN;2012;16;7
1;ADRIEN;2013;16;3
1;ADRIEN;2014;16;4
1;ADRIEN;2015;16;5
1;ADRIEN;2016;16;4
1;ADRIEN;2017;16;3
1;ADRIEN;2018;16;5
1;ADRIEN;2019;16;3
1;ADRIEN;2020;16;5
1;AHMED;2011;16;3
1;AHMED;2017;16;3
1;AHMED;2019;16;3
1;AHMED;2020;16;4
1;ALAN;2000;16;3
1;ALAN;2001;16;4
1;ALAN;2002;16;3
1;ALAN;2005;16;3
1;ALBAN;2002;16;4
1;ALBAN;2005;16;4
1;ALBAN;2006;16;4
1;ALBAN;2008;16;5
1;ALBAN;2009;16;5
1;ALBAN;2010;16;4
1;ALBAN;2011;16;5
1;ALBAN;2012;16;8
1;ALBAN;2013;16;4
1;ALBAN;2014;16;4
1;ALBAN;2015;16;6
1;ALBAN;2016;16;5
1;ALBAN;2017;16;7
1;ALBAN;2018;16;5
1;ALBAN;2019;16;3
1;ALBAN;2020;16;4
1;ALESSIO;2016;16;3
1;ALESSIO;2019;16;4
1;ALESSIO;2021;16;3
1;ALEX;2000;16;8
1;ALEX;2001;16;10
1;ALEX;2002;16;5
1;ALEX;2003;16;4
1;ALEX;2004;16;3
1;ALEX;2006;16;3
1;ALEX;2007;16;4
1;ALEX;2009;16;3
1;ALEX;2017;16;3
1;ALEX;2018;16;3
1;ALEXANDRE;2000;16;19
1;ALEXANDRE;2001;16;30
1;ALEXANDRE;2002;16;19
1;ALEXANDRE;2003;16;21
1;ALEXANDRE;2004;16;17
1;ALEXANDRE;2005;16;21
1;ALEXANDRE;2006;16;21
1;ALEXANDRE;2007;16;10
1;ALEXANDRE;2008;16;8
1;ALEXANDRE;2009;16;6
1;ALEXANDRE;2010;16;8
1;ALEXANDRE;2011;16;5
1;ALEXANDRE;2012;16;3
1;ALEXANDRE;2013;16;7
1;ALEXANDRE;2014;16;9
1;ALEXANDRE;2015;16;5
1;ALEXANDRE;2016;16;5
1;ALEXANDRE;2021;16;5
1;ALEXIS;2000;16;39
1;ALEXIS;2001;16;38
1;ALEXIS;2002;16;22
1;ALEXIS;2003;16;17
1;ALEXIS;2004;16;15
1;ALEXIS;2005;16;19
1;ALEXIS;2006;16;20
1;ALEXIS;2007;16;19
1;ALEXIS;2008;16;15
1;ALEXIS;2009;16;3
1;ALEXIS;2010;16;9
1;ALEXIS;2011;16;8
1;ALEXIS;2012;16;10
1;ALEXIS;2013;16;3
1;ALEXIS;2014;16;5
1;ALEXIS;2016;16;4
1;ALEXIS;2017;16;4
1;ALEXIS;2018;16;3
1;ALEXIS;2020;16;4
1;ALEXY;2006;16;3
1;ALEXY;2010;16;3
1;ALIX;2006;16;4
1;ALIX;2017;16;3
1;ALLAN;2001;16;3
1;ALOÏS;2013;16;3
1;AMAURY;2000;16;3
1;AMAURY;2001;16;3
1;AMAURY;2005;16;3
1;AMAURY;2007;16;7
1;AMAURY;2008;16;3
1;AMAURY;2010;16;5
1;AMAURY;2012;16;3
1;AMAURY;2013;16;3
1;AMAURY;2018;16;3
1;AMAURY;2019;16;3
1;AMAURY;2020;16;4
1;AMINE;2002;16;3
1;AMINE;2006;16;3
1;AMINE;2007;16;4
1;AMINE;2010;16;3
1;AMINE;2011;16;3
1;AMINE;2013;16;6
1;AMINE;2015;16;4
1;AMIR;2017;16;7
1;AMIR;2018;16;4
1;AMIR;2020;16;3
1;ANAS;2021;16;3
1;ANATOLE;2008;16;3
